,_id,created_at,updated_at,channel_id,content_type,content_id,content_offset_seconds,commenter,source,state,message
0,f3cf6ab0-a9ca-411c-b715-45954c4e9478,2020-09-14T23:09:49.455Z,2020-09-14T23:09:49.455Z,25736477,video,741269486,46.755,"{'display_name': 'TommeyBot', '_id': '263583260', 'name': 'tommeybot', 'type': 'user', 'bio': 'Get back to Tommey', 'created_at': '2018-09-29T19:58:37.482247Z', 'updated_at': '2020-09-20T06:03:52.920023Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/0313f259-3af2-4109-abb2-0ab2b835848e-profile_image-300x300.png'}",chat,published,"{'body': 'Did you know if you support the stream by subscribing and joining TheTeam, Tom will give you a follow on twitter? https://go.twitch.tv/subs/tommey Just sub and whisper with your Twitter.', 'fragments': [{'text': 'Did you know if you support the stream by subscribing and joining TheTeam, Tom will give you a follow on twitter? https://go.twitch.tv/subs/tommey Just sub and whisper with your Twitter.'}], 'is_action': False, 'user_badges': [{'_id': 'moderator', 'version': '1'}, {'_id': 'subscriber', 'version': '18'}], 'user_color': '#FF4500', 'user_notice_params': {}}"
1,3415fb8e-437d-4a66-b76a-7ab6290c9441,2020-09-14T23:09:53.586Z,2020-09-14T23:09:53.586Z,25736477,video,741269486,50.886,"{'display_name': 'stevepo', '_id': '32551443', 'name': 'stevepo', 'type': 'user', 'bio': 'i stream boring games usually that have a lot of grinding with a side of call of duty and many others especially RPG games so hit that follow button for more.', 'created_at': '2012-07-30T03:28:34.338261Z', 'updated_at': '2020-09-19T01:22:58.025177Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/3756d09d-fcc0-4886-acb2-dd789ff93bd9-profile_image-300x300.jpg'}",chat,published,"{'body': 'poffSend', 'emoticons': [{'_id': '300483049', 'begin': 0, 'end': 7}], 'fragments': [{'text': 'poffSend', 'emoticon': {'emoticon_id': '300483049', 'emoticon_set_id': ''}}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '0'}, {'_id': 'sub-gifter', 'version': '5'}], 'user_color': '#8A2BE2', 'user_notice_params': {}}"
2,53049925-463b-40f6-b8d5-558bcd531d86,2020-09-14T23:09:55.953Z,2020-09-14T23:09:55.953Z,25736477,video,741269486,53.253,"{'display_name': 'ibbyabby101', '_id': '523648124', 'name': 'ibbyabby101', 'type': 'user', 'bio': 'Just for fun', 'created_at': '2020-05-01T12:29:40.229505Z', 'updated_at': '2020-09-19T11:14:23.539013Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/6ddcba2d-18ce-4e80-bd37-85ea958ebf8f-profile_image-300x300.png'}",chat,published,"{'body': '!tourney', 'fragments': [{'text': '!tourney'}], 'is_action': False, 'user_color': '#00FF7F', 'user_notice_params': {}}"
3,c47b3c42-f3ff-406e-9590-172fc170b60f,2020-09-14T23:09:56.34Z,2020-09-14T23:09:56.34Z,25736477,video,741269486,53.64,"{'display_name': 'TommeyBot', '_id': '263583260', 'name': 'tommeybot', 'type': 'user', 'bio': 'Get back to Tommey', 'created_at': '2018-09-29T19:58:37.482247Z', 'updated_at': '2020-09-20T06:03:52.920023Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/0313f259-3af2-4109-abb2-0ab2b835848e-profile_image-300x300.png'}",chat,published,"{'body': 'NA', 'fragments': [{'text': 'NA'}], 'is_action': False, 'user_badges': [{'_id': 'moderator', 'version': '1'}, {'_id': 'subscriber', 'version': '18'}], 'user_color': '#FF4500', 'user_notice_params': {}}"
4,4cd7623c-365a-4a03-9aa4-c0d823879d81,2020-09-14T23:10:06.431Z,2020-09-14T23:10:06.431Z,25736477,video,741269486,63.731,"{'display_name': '904pyro', '_id': '250571070', 'name': '904pyro', 'type': 'user', 'bio': None, 'created_at': '2018-08-23T00:39:09.519657Z', 'updated_at': '2020-09-16T20:39:50.455105Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/908c638a-a1a0-40c3-9e10-b6af200d844c-profile_image-300x300.png'}",chat,published,"{'body': 'Ohhh baby lets get mixy lads', 'fragments': [{'text': 'Ohhh baby lets get mixy lads'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '0'}, {'_id': 'premium', 'version': '1'}], 'user_color': '#000000', 'user_notice_params': {}}"
5,9e1492e4-2582-4804-8bca-f1ce99969caf,2020-09-14T23:10:11.164Z,2020-09-14T23:10:11.164Z,25736477,video,741269486,68.464,"{'display_name': 'ReckenRoo', '_id': '74151765', 'name': 'reckenroo', 'type': 'user', 'bio': None, 'created_at': '2014-10-31T20:08:58.987729Z', 'updated_at': '2020-08-14T01:48:29.476455Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/6e2c5241-b475-4e18-9090-0c3003e45a9c-profile_image-300x300.png'}",chat,published,"{'body': 'Get er’ dun!', 'fragments': [{'text': 'Get er’ dun!'}], 'is_action': False, 'user_notice_params': {}}"
6,d9bee32e-abec-40b4-9fd4-a665a85d18ba,2020-09-14T23:10:18.047Z,2020-09-14T23:10:18.047Z,25736477,video,741269486,75.347,"{'display_name': 'tsbdashy', '_id': '486887881', 'name': 'tsbdashy', 'type': 'user', 'bio': None, 'created_at': '2020-01-20T05:04:59.877164Z', 'updated_at': '2020-09-04T15:03:42.160134Z', 'logo': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/ebe4cd89-b4f4-4cd9-adac-2f30151b4209-profile_image-300x300.png'}",chat,published,"{'body': 'Well my sub ends today so why not I just extend it now', 'fragments': [{'text': 'Well my sub ends today so why not I just extend it now'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '6'}, {'_id': 'sub-gifter', 'version': '5'}], 'user_notice_params': {}}"
7,fc91a97e-ad75-4b0a-81ea-dd2a7f983311,2020-09-14T23:10:22.757Z,2020-09-14T23:10:22.757Z,25736477,video,741269486,80.057,"{'display_name': 'rosemary0', '_id': '242006052', 'name': 'rosemary0', 'type': 'user', 'bio': None, 'created_at': '2018-07-26T02:32:19.733061Z', 'updated_at': '2020-09-18T14:33:32.166918Z', 'logo': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/294c98b5-e34d-42cd-a8f0-140b72fba9b0-profile_image-300x300.png'}",chat,published,"{'body': 'Yo', 'fragments': [{'text': 'Yo'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '3'}, {'_id': 'sub-gifter', 'version': '1'}], 'user_color': '#8A2BE2', 'user_notice_params': {}}"
8,46f5257e-b7b8-43b7-9e42-9d63f4cbe60e,2020-09-14T23:10:25.311Z,2020-09-14T23:10:25.311Z,25736477,video,741269486,82.611,"{'display_name': 'dentchris1993', '_id': '185020080', 'name': 'dentchris1993', 'type': 'user', 'bio': 'Renton93050 on PS4', 'created_at': '2017-12-09T09:50:37.036011Z', 'updated_at': '2020-09-13T08:01:11.227271Z', 'logo': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/ebb84563-db81-4b9c-8940-64ed33ccfc7b-profile_image-300x300.png'}",chat,published,"{'body': 'Yooooo', 'fragments': [{'text': 'Yooooo'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '3'}], 'user_notice_params': {}}"
9,0c1cc9a5-84a4-4804-bc39-d436ecfb6fcb,2020-09-14T23:10:30.794Z,2020-09-14T23:10:30.794Z,25736477,video,741269486,88.094,"{'display_name': '904pyro', '_id': '250571070', 'name': '904pyro', 'type': 'user', 'bio': None, 'created_at': '2018-08-23T00:39:09.519657Z', 'updated_at': '2020-09-16T20:39:50.455105Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/908c638a-a1a0-40c3-9e10-b6af200d844c-profile_image-300x300.png'}",chat,published,"{'body': 'Why not @tsbdashy', 'fragments': [{'text': 'Why not @tsbdashy'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '0'}, {'_id': 'premium', 'version': '1'}], 'user_color': '#000000', 'user_notice_params': {}}"
