,_id,created_at,updated_at,channel_id,content_type,content_id,content_offset_seconds,commenter,source,state,message
0,04b1f218-72e8-4070-ac08-d38ca1d4ce46,2020-09-07T18:28:57.638Z,2020-09-07T18:28:57.638Z,2601579,video,734297975,48.938,"{'display_name': 'zumie111', '_id': '575351748', 'name': 'zumie111', 'type': 'user', 'bio': None, 'created_at': '2020-08-30T09:19:44.696577Z', 'updated_at': '2020-09-18T17:51:21.491349Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/0750730b-fb61-4761-966c-3f88a1c1c4f9-profile_image-300x300.png'}",chat,published,"{'body': 'Hello.', 'fragments': [{'text': 'Hello.'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '0'}], 'user_notice_params': {}}"
1,dc60b467-226f-4a58-bdff-c3462c818bd6,2020-09-07T18:29:13.158Z,2020-09-07T18:29:13.158Z,2601579,video,734297975,64.458,"{'display_name': 'VineJuicer', '_id': '519384691', 'name': 'vinejuicer', 'type': 'user', 'bio': 'Yahoo', 'created_at': '2020-04-23T21:01:34.501298Z', 'updated_at': '2020-09-20T22:51:24.725614Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/d5954076-424f-455b-aef0-03a5d5d39efe-profile_image-300x300.png'}",chat,published,"{'body': 'Anyone got any good tips for luigi practice in melee?', 'fragments': [{'text': 'Anyone got any good tips for luigi practice in melee?'}], 'is_action': False, 'user_notice_params': {}}"
2,85ace60b-b642-42dc-8740-4cd2fb1a501f,2020-09-07T18:29:15.929Z,2020-09-07T18:29:15.929Z,2601579,video,734297975,67.229,"{'display_name': 'PapiChurro95', '_id': '428716548', 'name': 'papichurro95', 'type': 'user', 'bio': 'Grad student gamer in Philadelphia. Go Giants', 'created_at': '2019-04-08T01:17:40.64801Z', 'updated_at': '2020-09-06T01:12:52.177491Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/61db7f7a-d56a-4944-b204-8f643b0fc2e5-profile_image-300x300.png'}",chat,published,"{'body': 'Happy Staybor Day', 'fragments': [{'text': 'Happy Staybor Day'}], 'is_action': False, 'user_badges': [{'_id': 'glhf-pledge', 'version': '1'}], 'user_color': '#FF8100', 'user_notice_params': {}}"
3,97cd9bbc-3e2a-4dc7-b054-3eefa8863d6c,2020-09-07T18:29:51.687Z,2020-09-07T18:29:51.687Z,2601579,video,734297975,102.987,"{'display_name': 'jldr12', '_id': '153516173', 'name': 'jldr12', 'type': 'user', 'bio': 'QWERTY', 'created_at': '2017-04-15T21:16:23.107904Z', 'updated_at': '2020-09-05T23:00:32.62985Z', 'logo': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/75305d54-c7cc-40d1-bb9c-91fbe85943c7-profile_image-300x300.png'}",chat,published,"{'body': 'hello', 'fragments': [{'text': 'hello'}], 'is_action': False, 'user_badges': [{'_id': 'subscriber', 'version': '0'}, {'_id': 'premium', 'version': '1'}], 'user_color': '#00B8FF', 'user_notice_params': {}}"
4,8d7a5e6b-efab-4bc3-888e-5d55fd8babcb,2020-09-07T18:29:54.516Z,2020-09-07T18:29:54.516Z,2601579,video,734297975,105.816,"{'display_name': 'lucario448th', '_id': '278839984', 'name': 'lucario448th', 'type': 'user', 'bio': None, 'created_at': '2018-11-28T02:18:57.157136Z', 'updated_at': '2020-09-20T02:34:26.182195Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/75c3be4e-6aeb-47c0-b7b9-f675d842effa-profile_image-300x300.png'}",chat,published,"{'body': 'hey guys', 'fragments': [{'text': 'hey guys'}], 'is_action': False, 'user_notice_params': {}}"
5,8dc54b2c-3fbb-440a-b363-d4f02f662c7d,2020-09-07T18:30:30.645Z,2020-09-07T18:30:30.645Z,2601579,video,734297975,141.945,"{'display_name': 'Nightbot', '_id': '19264788', 'name': 'nightbot', 'type': 'user', 'bio': 'A chat moderator bot for Twitch. Visit https://nightbot.tv for more info.', 'created_at': '2011-01-05T00:34:05.973707Z', 'updated_at': '2020-09-20T21:48:28.118799Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/nightbot-profile_image-2345338c09b4d468-300x300.png'}",chat,published,"{'body': 'Frame Perfect Series NOW HAS MERCH! Check it out here: https://streamlabs.com/mew2king/merch', 'fragments': [{'text': 'Frame Perfect Series NOW HAS MERCH! Check it out here: https://streamlabs.com/mew2king/merch'}], 'is_action': False, 'user_badges': [{'_id': 'moderator', 'version': '1'}, {'_id': 'subscriber', 'version': '3024'}, {'_id': 'partner', 'version': '1'}], 'user_color': '#7C7CE1', 'user_notice_params': {}}"
6,e5b82b8f-98d9-42e1-8c70-994bba64a8ee,2020-09-07T18:30:42.119Z,2020-09-07T18:30:42.119Z,2601579,video,734297975,153.419,"{'display_name': 'StreamElements', '_id': '100135110', 'name': 'streamelements', 'type': 'user', 'bio': 'www.StreamElements.com', 'created_at': '2015-08-21T20:25:14.224473Z', 'updated_at': '2020-09-20T21:43:15.76642Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/streamelements-profile_image-a89b9d61499d365f-300x300.png'}",chat,published,"{'body': 'Mew2King is now live! Streaming Super Smash Bros. Melee: M2K Melee Mondays !fps2 !merch', 'fragments': [{'text': 'Mew2King is now live! Streaming Super Smash Bros. Melee: M2K Melee Mondays !fps2 !merch'}], 'is_action': False, 'user_badges': [{'_id': 'moderator', 'version': '1'}, {'_id': 'partner', 'version': '1'}], 'user_color': '#5B99FF', 'user_notice_params': {}}"
7,c34d9181-4b16-4e22-946c-4ebb5ba86403,2020-09-07T18:31:13.558Z,2020-09-07T18:31:13.558Z,2601579,video,734297975,184.858,"{'display_name': 'Shadows_Strider', '_id': '166027967', 'name': 'shadows_strider', 'type': 'user', 'bio': None, 'created_at': '2017-07-21T23:44:39.213342Z', 'updated_at': '2020-05-28T19:39:16.083245Z', 'logo': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/215b7342-def9-11e9-9a66-784f43822e80-profile_image-300x300.png'}",chat,published,"{'body': ""is it really melee monday when it's melee every day?"", 'fragments': [{'text': ""is it really melee monday when it's melee every day?""}], 'is_action': False, 'user_color': '#8A2BE2', 'user_notice_params': {}}"
8,d4ce84c0-9dba-4594-9544-e33a3618073d,2020-09-07T18:31:54.428Z,2020-09-07T18:31:54.428Z,2601579,video,734297975,225.728,"{'display_name': 'pkbucas', '_id': '509638081', 'name': 'pkbucas', 'type': 'user', 'bio': None, 'created_at': '2020-04-06T19:16:41.880628Z', 'updated_at': '2020-09-18T07:35:47.8767Z', 'logo': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/41780b5a-def8-11e9-94d9-784f43822e80-profile_image-300x300.png'}",chat,published,"{'body': 'He played ultimate yesterday so it’s not everyday guy', 'fragments': [{'text': 'He played ultimate yesterday so it’s not everyday guy'}], 'is_action': False, 'user_notice_params': {}}"
9,035677ae-4d72-47b2-aa0f-cc39ae765eda,2020-09-07T18:32:17.404Z,2020-09-07T18:32:17.404Z,2601579,video,734297975,248.704,"{'display_name': 'Nightbot', '_id': '19264788', 'name': 'nightbot', 'type': 'user', 'bio': 'A chat moderator bot for Twitch. Visit https://nightbot.tv for more info.', 'created_at': '2011-01-05T00:34:05.973707Z', 'updated_at': '2020-09-20T21:48:28.118799Z', 'logo': 'https://static-cdn.jtvnw.net/jtv_user_pictures/nightbot-profile_image-2345338c09b4d468-300x300.png'}",chat,published,"{'body': 'All matches from Frame Perfect Series: ONLINE and MORE will be uploaded to the MVG VODs YouTube channel. Make sure to subscribe: https://www.youtube.com/channel/UCCCWDn7p9BevYksiA0IvhVw', 'fragments': [{'text': 'All matches from Frame Perfect Series: ONLINE and MORE will be uploaded to the MVG VODs YouTube channel. Make sure to subscribe: https://www.youtube.com/channel/UCCCWDn7p9BevYksiA0IvhVw'}], 'is_action': False, 'user_badges': [{'_id': 'moderator', 'version': '1'}, {'_id': 'subscriber', 'version': '3024'}, {'_id': 'partner', 'version': '1'}], 'user_color': '#7C7CE1', 'user_notice_params': {}}"
